Time,Region,u10,v10,t2m
2019-04-04,N. PIERIAS,-1.8897324,3.0370436,285.66553
2019-04-05,N. PIERIAS,-2.355935,1.2989607,284.02686
2019-04-06,N. PIERIAS,-0.5247717,-0.27956867,285.05713
2019-04-07,N. PIERIAS,-1.2314129,1.9265699,287.2091
2019-04-08,N. PIERIAS,-1.1249876,0.02073574,284.76746
2019-04-09,N. PIERIAS,0.20061588,-0.9634285,285.49622
2019-04-10,N. PIERIAS,0.049822807,1.9206877,287.07324
2019-04-11,N. PIERIAS,0.75025177,2.375455,289.89673
2019-04-12,N. PIERIAS,-1.2190905,2.6751118,287.04968
2019-04-13,N. PIERIAS,-1.0161686,1.6001635,286.40283
2019-04-14,N. PIERIAS,-0.9585161,1.534895,284.5182
2019-04-15,N. PIERIAS,-1.0890846,-0.27729607,283.39673
2019-04-16,N. PIERIAS,-0.6124096,2.5704098,286.97864
2019-04-17,N. PIERIAS,0.15838528,0.9904251,287.6195
2019-04-18,N. PIERIAS,-0.60080624,1.1273327,285.33972
2019-04-19,N. PIERIAS,0.4521408,0.15569401,289.7417
2019-04-20,N. PIERIAS,-1.995161,1.630415,285.24512
2019-04-21,N. PIERIAS,-1.8107967,1.9112568,287.5752
2019-04-22,N. PIERIAS,-2.543479,2.535325,287.97632
2019-04-23,N. PIERIAS,-2.7966652,2.3146343,285.03345
2019-04-24,N. PIERIAS,-1.5531769,0.6366272,289.14783
2019-04-25,N. PIERIAS,-0.3038025,1.9587336,289.7904
2019-04-26,N. PIERIAS,-1.0573311,1.836834,294.46643
2019-04-27,N. PIERIAS,-0.04638195,-0.14005089,291.33423
2019-04-28,N. PIERIAS,-1.343296,1.4277887,292.6183
2019-04-29,N. PIERIAS,-0.7895651,2.5030794,293.5016
2019-04-30,N. PIERIAS,1.6963482,1.9621305,292.95532
2019-05-01,N. PIERIAS,0.3808689,1.5943184,290.42444
2019-05-02,N. PIERIAS,0.054499626,0.9731636,291.18738
2019-05-03,N. PIERIAS,-0.95579624,2.1424303,293.037
2019-05-04,N. PIERIAS,-1.1883488,2.2417946,289.54407
2019-05-05,N. PIERIAS,0.42577362,1.2422009,290.32654
2019-05-06,N. PIERIAS,2.040925,2.4673223,290.71216
2019-05-07,N. PIERIAS,0.09342289,-3.3974028,288.81555
2019-05-08,N. PIERIAS,-2.0456839,1.9072189,290.0503
2019-05-09,N. PIERIAS,-1.8032379,1.5514917,289.63733
2019-05-10,N. PIERIAS,-0.5525799,-0.030324936,292.34863
2019-05-11,N. PIERIAS,-1.0184822,2.1390476,294.23828
2019-05-12,N. PIERIAS,-2.2057438,1.6651297,290.6604
2019-05-13,N. PIERIAS,-2.4203186,0.96938133,287.6516
2019-05-14,N. PIERIAS,-1.3633814,1.9181995,289.39136
2019-05-15,N. PIERIAS,-0.3649645,0.44402313,291.12817
2019-05-16,N. PIERIAS,-0.5017338,1.4227467,289.792
2019-05-17,N. PIERIAS,0.72461414,0.1593132,292.16492
2019-05-18,N. PIERIAS,-1.1713419,1.9435196,295.99
2019-05-19,N. PIERIAS,-1.7299967,1.8794136,294.47803
2019-05-20,N. PIERIAS,2.214531,1.9926205,295.23145
2019-05-21,N. PIERIAS,-0.30437183,1.9035282,295.6554
2019-05-22,N. PIERIAS,-1.1397324,1.5248117,295.0547
2019-05-23,N. PIERIAS,-0.50335217,1.3121433,293.33386
2019-05-24,N. PIERIAS,1.7660418,1.190855,292.92188
2019-05-25,N. PIERIAS,-0.8579292,1.22962,294.42798
2019-05-26,N. PIERIAS,-1.8064318,1.731431,294.5243
2019-05-27,N. PIERIAS,-1.1208239,0.928977,292.64258
2019-05-28,N. PIERIAS,-0.65723515,2.4310007,296.78784
2019-05-29,N. PIERIAS,-0.48679638,2.0087976,297.82764
2019-05-30,N. PIERIAS,1.1869488,1.5101929,296.20874
2019-05-31,N. PIERIAS,1.1973572,-0.045222282,292.667
2019-06-01,N. PIERIAS,-1.4467125,1.6208096,294.41553
2019-06-02,N. PIERIAS,0.9296713,1.0985765,291.73608
2019-06-03,N. PIERIAS,1.0002127,1.6677074,290.23438
2019-06-04,N. PIERIAS,-0.9189415,1.8257322,293.95166
2019-06-05,N. PIERIAS,-0.76476765,2.0558386,293.5017
2019-06-06,N. PIERIAS,-0.5663271,1.3809738,296.74536
2019-06-07,N. PIERIAS,-0.390913,1.171401,300.76147
2019-06-08,N. PIERIAS,0.7694998,-0.0805397,303.30298
2019-06-09,N. PIERIAS,-0.8071375,0.472394,300.3822
2019-06-10,N. PIERIAS,-1.953845,0.742136,296.8114
2019-06-11,N. PIERIAS,-0.4625845,1.9370689,298.30737
2019-06-12,N. PIERIAS,-0.25271702,1.1057682,299.68884
2019-06-13,N. PIERIAS,-0.95337963,1.912508,300.87646
2019-06-14,N. PIERIAS,-2.081297,0.81377125,300.31384
2019-06-15,N. PIERIAS,-2.4216242,0.08286476,302.86145
2019-06-16,N. PIERIAS,-0.19633389,1.5890388,298.812
2019-06-17,N. PIERIAS,0.8186226,1.2519188,299.78125
2019-06-18,N. PIERIAS,-0.5874281,1.7784834,298.30188
2019-06-19,N. PIERIAS,-1.6685266,1.4445448,297.92737
2019-06-20,N. PIERIAS,-0.40019703,0.9839945,298.70178
2019-06-21,N. PIERIAS,-0.9422722,0.838192,301.09045
2019-06-22,N. PIERIAS,-1.3347092,1.5557871,303.15234
